app,app_id,target,strategy,model,horizon,rmse_mean,rmse_std,n_origins,threshold_A,threshold_B,threshold_C,h_safe_A,h_safe_B,h_safe_C
f1,com.labpixies.flood,dau,hold_last,LocalLinear,1,46.910553183692045,28.548094020097288,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,2,42.565244037829736,33.76332757421848,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,3,79.01139158374569,85.02910212589569,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,4,42.57698909035255,36.76913592669966,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,5,65.84527317886987,69.63565188879403,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,6,42.82989610073786,35.30399143080507,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,7,95.10310194730769,64.58621033675446,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,8,77.32140712635797,80.46299338486325,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,9,49.877850795718935,28.232167820826877,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,10,82.92044380006658,74.64561910081454,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,11,57.0087712549569,34.882311475103734,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,12,80.93701254679469,54.1516160437545,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,13,60.84734998338054,31.276213940446397,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,14,91.0724985931538,52.333065549661605,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,15,90.17760254076397,64.26285181360161,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,16,84.98352781568909,51.89578198502746,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,17,118.76952471067652,78.56774361802431,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,18,68.78662660721196,32.71399460766697,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,19,119.15452152562234,59.58806606863442,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,20,100.95840727745264,61.537611621471896,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,21,123.9483763508018,71.76598703458279,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,22,129.37233089034146,69.25551808732341,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,23,97.653468960401,37.74956115034288,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
f1,com.labpixies.flood,dau,hold_last,LocalLinear,24,155.55834918126382,55.07972339618538,5,72.681285,78.2960217621594,58.28255808406141,2,2,2
