sim_idx,baseline_h14,scenario_h14,delta_pct_vs_baseline
0,309.552316224811,343.8977658457882,14.105037997845846
1,312.25116501644226,346.78635729025956,15.063470617264088
2,324.8903913179338,360.09510669713245,19.479304355061654
3,313.6228219779871,349.4632617590445,15.951665646318967
4,323.5964156059597,359.04110826362705,19.12958841256631
5,273.748029248933,309.15480941192186,2.577349371274412
6,323.723624086523,358.8381226968819,19.062237943599154
7,320.7031840095955,355.37690422858265,17.913808078482692
8,274.6426511017928,311.9245889009031,3.4963602670229403
9,333.6505962477673,365.14552670343204,21.155030178131735
10,286.20225850634415,321.1846405842939,6.568838934038007
11,292.07161367750064,327.07711158109976,8.523956686368038
12,291.44576585142727,326.52389771403244,8.340400712494809
13,361.7597382813344,394.92674763419075,31.036418437717845
14,316.1411316955533,351.5115330510749,16.63128062733582
15,320.0017792611531,354.2490616701993,17.539590707039725
16,291.18971306667436,327.28961033260987,8.59446362338149
17,241.56789922182568,278.82353378191095,-7.486546652515118
18,329.3195211675016,364.37498864674285,20.89936619025712
19,303.17611174849793,339.7070293805627,12.714554571972295
20,336.4458318389404,368.8803577518842,22.394244505828976
21,283.1835038383263,317.312595430219,5.284097062137585
22,297.5554568802462,333.0525274179372,10.50659547856366
23,309.7682053564781,346.5104424303963,14.971922259886906
24,271.4828929312403,307.4069495769002,1.9974107014213296
25,282.0489585998551,317.5654400289544,5.367990723020485
26,268.156110472709,303.825759478227,0.8091743333204138
27,311.8166673310639,348.9292107522472,15.77446789607036
28,245.36816083892722,282.55875922941993,-6.247201463486891
29,282.6586015742452,318.56622758455893,5.7000513334730485
30,297.1483805700502,332.83643645334405,10.43489664776361
31,313.5383833162282,348.6266266623071,15.6740707068207
32,358.2773228281567,393.2423889823963,30.477549416012156
33,247.5886402250011,283.01563106188297,-6.095611709261163
34,338.7817659879733,374.2704461857966,24.18267207543149
35,377.4477492442482,409.69275801153236,35.93577034551328
36,271.1337575811848,305.45163929902304,1.348640119832842
37,248.25936135270538,283.2263453833701,-6.02569684488034
38,308.3348913439626,342.44475094657406,13.622928671318235
39,302.16049823768924,336.1769885511793,11.543289495620037
40,330.3876283633528,363.43623671234576,20.587888955499608
41,283.8393977677563,320.12212373064875,6.216296585702724
42,247.80659643426128,279.8456450486953,-7.147410849618528
43,244.20913042735418,278.4618335307478,-7.606558542680488
44,324.0102975853671,360.09284362468856,19.478553469208798
45,306.97178104866487,341.87781990264614,13.434821347763936
46,288.3445644842963,325.0972803173741,7.867050058838385
47,319.5439279248677,354.0888668930895,17.486438192122357
48,298.1702091915309,332.2715638045319,10.247472298267967
49,317.1662748243015,351.4042956039091,16.595699317426607
50,391.2002800240616,427.8893298837862,41.97338015611359
51,289.2323907791098,323.64095703668323,7.383843013652474
52,280.67865909257745,315.93160927826534,4.825886823534775
53,319.3937822683831,354.2793056415824,17.54962563557551
54,222.64913979522987,258.6601090877265,-14.176756852741693
55,318.8064937140534,352.8056087632125,17.06065404284026
56,265.2410276256356,303.06960446626175,0.5582826296178516
57,299.64453503773194,334.65430827421915,11.038065245518276
58,281.79999268824616,316.01606607964,4.853909531115701
59,312.302659013484,346.2508717199139,14.88579687983426
60,321.6332610829472,356.7805984121449,18.379552826078847
61,276.6127448041046,311.7543305119011,3.43986865272373
62,262.00337461207135,296.1008011454419,-1.753961434445768
63,319.977375083953,356.46490989341186,18.27480759652806
64,284.3939868388603,319.72554032784114,6.084710490238035
65,286.3809752256131,320.5778551061444,6.3675079371049295
66,323.1381647350847,359.26113904206863,19.202594470843614
67,204.1340343045319,241.04099775634398,-20.02276566007195
68,290.5069116484721,326.8561227960155,8.450632762157241
69,334.61055325189085,368.4146782649933,22.239732378028958
70,355.5784218314575,389.91478302020755,29.373452086901658
71,240.53536285990742,276.8272627864661,-8.148907971522274
72,328.21641879233897,361.65424629592724,19.9966257826286
73,282.7930245097296,315.2790075988899,4.6093540431037905
74,353.55478030529,385.86695052440757,28.03038409805846
75,282.26322683567577,318.5536903163773,5.69589147666579
76,309.68954280969797,346.27854867779473,14.894980075086748
77,296.9023006874971,331.9503198175925,10.140883768254842
78,294.21081921123357,330.4019333125019,9.627130209652364
79,291.5752836345236,325.89907200300445,8.133083978919835
80,380.54742054184936,415.7417006042521,37.94280526384591
81,358.3099060953505,395.1664863043261,31.11596356066469
82,362.4293300346771,396.8898826753247,31.68778527027803
83,242.82397175528354,277.7850693517686,-7.831108423567571
84,299.0957297914078,333.90496119069843,10.789432407708421
85,270.296956454807,305.631177005722,1.4082106052489005
86,263.9040312323261,298.71835582591336,-0.8854586236116615
87,330.0890205371002,366.8433540832631,21.718368114372584
88,309.1795001763024,343.7208512737135,14.046337866662073
89,305.397678990847,341.30114754770926,13.243481864035259
90,280.2288316444212,315.98695641825077,4.844250965841944
91,266.61157785646725,301.0667065003442,-0.10627751355363318
92,286.5187882779056,323.56446940065376,7.358464469555094
93,269.49395468814646,304.1094662142088,0.9033080297398481
94,333.8317983551291,369.13413107705367,22.478446317492633
95,289.7057697745458,324.4134268291142,7.640147950094106
96,329.0405031927549,365.36581834411857,21.228122790319322
97,281.88109398961706,317.5219633922033,5.353565205377755
98,315.5705937420273,350.4983963536182,16.295122580260443
99,263.35671115125575,298.0680792107388,-1.1012199493682147
100,295.4195846635043,329.1770013268143,9.220698634187183
101,335.7270975398325,371.64398402762436,23.31121376973103
102,267.86878040619507,302.25188023121166,0.2869623007908504
103,281.84308112212995,319.0548000041347,5.862159320314082
104,280.20773985501984,314.6752244401368,4.409019213644974
105,294.41189041621567,327.8164668015905,8.7692742310183
106,303.7451975494262,338.51643117408395,12.319514920416827
107,223.5893064190633,259.35669667336435,-13.945629579400581
108,297.1736375702091,333.02941730773625,10.49892756017481
109,298.63584051166174,334.2969541545812,10.919495398750913
110,335.28024063817855,369.8188739492586,22.705643523207353
111,306.9647911269182,342.92775174728587,13.783187998920047
112,301.46011193543626,336.0714421875497,11.508269286044456
113,319.7071216885113,353.1858807330128,17.186828016250256
114,340.1342840616592,375.42817471858456,24.566805592263353
115,362.53239150663876,396.23835343435564,31.47160832415963
116,291.40662284080116,327.20101231294234,8.565066862469614
117,358.90333067623067,391.811713285849,30.002852221293175
118,272.97573174934655,309.5805873840494,2.718622204404842
119,305.4631110444938,341.95786547773747,13.46138041355168
120,337.1343061967837,370.8271349688869,23.040183823791992
121,286.3796015528099,319.45182091453927,5.993890580493218
122,275.06221365741146,311.8957387842296,3.4867878185041965
123,290.1604456079736,325.0083842551281,7.837554407607578
124,289.1630166915442,325.5938687967967,8.031817768725796
125,297.21246284132656,332.266163716668,10.245680552894491
126,367.7717543309525,401.50439146194685,33.21887605577334
127,296.52073879417236,329.7523799147666,9.411608846935945
128,289.56494394758886,325.5823200689679,8.027985908915676
129,320.1569751925145,356.79947245456117,18.385815220141755
130,286.3523836506469,319.8005186110129,6.109588232113683
131,256.55576184284274,291.4366924115248,-3.3015094477362767
132,344.1779536943765,378.7374707594283,25.664827702287536
133,342.884685312481,376.6993931840753,24.98859498932919
134,323.9467360793315,358.7200443347799,19.023059625702167
135,337.20961525127984,373.3858844519694,23.889175111292875
136,329.80700346169544,364.5775863225989,20.96658795729877
137,285.3525735984771,320.54585784085606,6.35689126687861
138,319.483886032165,351.9346194149462,16.77166038673082
139,255.01040076251985,289.3319230236259,-3.999870457416701
140,280.0683169026203,313.5945587021196,4.0504550781782935
141,285.0931183993139,320.74388786305366,6.422597489633497
142,267.89147501372446,303.0176860282047,0.5410561282106157
143,276.77836127315294,313.1995564835961,3.9193936185523186
144,314.0669382678532,349.71964244250506,16.03673257763861
145,292.76450410321365,327.0998213649414,8.531491776751086
146,323.1386273431905,358.38736922955104,18.912678258641762
147,312.2738453044342,350.161363673341,16.183295372849063
148,357.78088600139796,393.38214468111977,30.5239202590272
149,247.21209173334634,283.2791293587166,-6.008183158806283
150,299.89971529765154,335.1195811049715,11.192442445096146
151,329.1431822680845,361.2829514252009,19.873430404407877
152,307.28331779262516,343.355919670592,13.925253816178698
153,278.4621708187416,312.3226473913859,3.62843579554578
154,299.97444511409464,335.42063574757276,11.292332164789329
155,362.13998523902904,395.4338327106722,31.204668911162347
156,332.4256994292045,365.6668813360896,21.32801528032755
157,279.9607663523907,315.3339494153766,4.627583699357782
158,310.7391265236105,345.3893624761905,14.59994871577659
159,304.5904365166247,337.70814741288655,12.051326934206328
160,291.04472914475855,327.0999224284791,8.531525309562145
161,259.4355589323018,294.3668911456425,-2.329271558736232
162,387.6176495944966,423.9263914321763,40.65847995171142
163,258.3145023607134,292.42343409555025,-2.974109247642302
164,274.1772323793697,310.09757015716195,2.8901567266636787
165,338.2412272816678,373.37209085757996,23.884598406329232
166,333.2657659183361,366.781283186798,21.697773034371735
167,336.1236511062674,370.64528380408336,22.979845734596125
168,282.2163549944865,317.8023200157238,5.4465873368274265
169,338.1015245435958,372.7366690620983,23.67376589934922
170,317.26955659516557,351.3139569634451,16.565725019752804
171,322.00247882792627,357.47419504115135,18.60968770210315
172,354.4423279180866,390.3458878078331,29.516492353685837
173,261.2089153431055,296.2551753720022,-1.7027401741266404
174,325.09847403956286,361.5005701871912,19.94563615731493
175,299.7099226262347,334.740665679144,11.06671857202684
176,291.40158988097085,326.90914963172906,8.468227029131098
177,252.3527951750671,282.8888640416299,-6.137672917851087
178,272.6409507965924,309.13055891690425,2.5693030740016
179,251.8366815655987,285.75849426633306,-5.185531617880122
180,303.8721168630276,340.34801256086797,12.927232342544121
181,315.12189556123184,348.4334524086076,15.609975624654703
182,299.7548457428972,334.5724753714306,11.010913145651624
183,244.94755966431694,279.649926114913,-7.212350254854856
184,322.5794448109408,358.59347638649245,18.98106446905109
185,331.53475032739647,366.150179898038,21.488373404899242
186,318.6112215037554,353.4601823334383,17.277841095275182
187,288.0716156361247,323.7139354107035,7.408057187071505
188,321.3125475112803,357.3474777324624,18.567642987775397
189,301.0325468834371,336.8590288805729,11.769589999521589
190,264.25404325825747,298.73600578155026,-0.8796023806853505
191,385.7470300705428,420.9929228316512,39.685157123326135
192,264.4556454888122,298.7830829018218,-0.8639822251306899
193,294.78745189791715,329.9238313688216,9.468496319384668
194,256.97117297091086,292.6883635515973,-2.8862058395621366
195,283.693458658745,319.4012115465303,5.977098427611657
196,313.376849581808,348.702317159659,15.699184760862817
197,298.5608442134137,332.45830968134266,10.309434449481781
198,299.09420383243327,335.68235197067065,11.379169424426047
199,323.90579731426163,357.81703103112704,18.72344044361049
200,276.919193783927,311.3464874841922,3.304546621597917
201,313.6541231511655,350.515456276655,16.30078305078304
202,280.03577535451495,313.46116078479605,4.0061937425816385
203,287.16852838554286,322.19696908750046,6.904728822826891
204,317.69983740482473,354.31181054808303,17.560410740800737
205,316.16227829807195,353.29736965978594,17.223819964117375
206,292.13959683012234,328.21514291187975,8.901554685360624
207,331.5219626212295,363.93956566142595,20.754893148501445
208,276.8707016274714,310.1312024347264,2.901315892818788
209,271.8567618564723,309.2879031971464,2.6215097960534886
210,297.7789270146744,332.26135197271134,10.244084019617626
211,260.32413974823476,296.11597960629945,-1.7489252317573307
212,303.96624773064957,339.81533051825454,12.750488813653526
213,293.92075154609563,328.63527170802263,9.040953125853456
214,301.03282293121134,336.8871780799192,11.77892988416177
215,329.15113205254465,365.157172468647,21.15889423487865
216,326.3648851428024,359.69370064990164,19.34611810955294
217,343.3395026480847,377.46135813868773,25.24141442793545
218,283.67737453688994,317.2484986328301,5.262829789628225
219,301.43941410470063,336.7454964220845,11.7319200092617
220,324.0578832948021,358.0713533426904,18.807824408575375
221,280.305527963331,315.38901456161636,4.645854276337522
222,296.6427366289928,332.32628355001225,10.265628271517485
223,337.6842195283729,372.13325551312056,23.473553706155162
224,257.7524981002184,292.9107462788681,-2.812419406309545
225,278.6074518000412,313.4201249723012,3.9925780887186937
226,258.2187615034731,291.5565475356328,-3.2617416014493394
227,302.59027838503323,335.8144361107098,11.422994849639293
228,321.3877160980617,357.83895840187563,18.730715929876897
229,318.3368341188185,355.26507476172594,17.8767031396542
230,322.89549951325216,357.40422670132347,18.586472255922306
231,293.9384668683569,328.4845760322545,8.99095240611239
232,306.0856086965502,339.6795288241145,12.705429906591693
233,302.3764953797183,337.6465193251276,12.03087877782423
234,308.4911517309697,341.9444971542899,13.456944813188871
235,254.62945329072525,289.1749750482313,-4.051945685797554
236,313.2829988940853,347.52485083268226,15.308502257734508
