app_id,day,model,feature,contribution
com.labpixies.flood,28,M1,stickiness,-0.1697
com.labpixies.flood,28,M1,dau,0.1857
com.labpixies.flood,28,M1,crash_rate,-0.171
com.labpixies.flood,28,M1,mau,0.4064
com.labpixies.flood,29,M1,stickiness,-0.2052
com.labpixies.flood,29,M1,dau,0.0537
com.labpixies.flood,29,M1,crash_rate,-0.4699
com.labpixies.flood,29,M1,mau,0.5089
com.labpixies.flood,30,M1,stickiness,-0.1667
com.labpixies.flood,30,M1,dau,0.397
com.labpixies.flood,30,M1,crash_rate,-0.0178
com.labpixies.flood,30,M1,mau,0.557
com.labpixies.flood,31,M1,stickiness,-0.2009
com.labpixies.flood,31,M1,dau,0.1329
com.labpixies.flood,31,M1,crash_rate,-0.0577
com.labpixies.flood,31,M1,mau,0.6057
com.labpixies.flood,32,M1,stickiness,-0.2497
com.labpixies.flood,32,M1,dau,-0.0
com.labpixies.flood,32,M1,crash_rate,2.1378
com.labpixies.flood,32,M1,mau,0.6546
com.labpixies.flood,33,M1,stickiness,-0.3465
com.labpixies.flood,33,M1,dau,-0.4866
com.labpixies.flood,33,M1,crash_rate,-0.263
com.labpixies.flood,33,M1,mau,0.6725
com.labpixies.flood,34,M1,stickiness,-0.2617
com.labpixies.flood,34,M1,dau,-0.0003
com.labpixies.flood,34,M1,crash_rate,-0.1061
com.labpixies.flood,34,M1,mau,0.7523
com.labpixies.flood,35,M1,stickiness,-0.3731
com.labpixies.flood,35,M1,dau,-0.6622
com.labpixies.flood,35,M1,crash_rate,0.6199
com.labpixies.flood,35,M1,mau,0.7676
com.labpixies.flood,36,M1,stickiness,-0.3036
com.labpixies.flood,36,M1,dau,-0.1591
com.labpixies.flood,36,M1,crash_rate,0.0063
com.labpixies.flood,36,M1,mau,0.6689
com.labpixies.flood,37,M1,stickiness,-0.4004
com.labpixies.flood,37,M1,dau,-1.3126
com.labpixies.flood,37,M1,crash_rate,-0.0842
com.labpixies.flood,37,M1,mau,0.5327
com.labpixies.flood,38,M1,stickiness,-0.2407
com.labpixies.flood,38,M1,dau,-0.0
com.labpixies.flood,38,M1,crash_rate,0.239
com.labpixies.flood,38,M1,mau,0.5719
com.labpixies.flood,39,M1,stickiness,-0.2256
com.labpixies.flood,39,M1,dau,0.0134
com.labpixies.flood,39,M1,crash_rate,0.2966
com.labpixies.flood,39,M1,mau,0.5653
com.labpixies.flood,40,M1,stickiness,-0.2957
com.labpixies.flood,40,M1,dau,-0.1867
com.labpixies.flood,40,M1,crash_rate,0.1127
com.labpixies.flood,40,M1,mau,0.5554
com.labpixies.flood,41,M1,stickiness,-0.2158
com.labpixies.flood,41,M1,dau,0.0331
com.labpixies.flood,41,M1,crash_rate,0.1226
com.labpixies.flood,41,M1,mau,0.5489
com.labpixies.flood,42,M1,stickiness,-0.2355
com.labpixies.flood,42,M1,dau,-0.0
com.labpixies.flood,42,M1,crash_rate,1.5481
com.labpixies.flood,42,M1,mau,0.5279
com.labpixies.flood,43,M1,stickiness,-0.256
com.labpixies.flood,43,M1,dau,-0.0468
com.labpixies.flood,43,M1,crash_rate,0.293
com.labpixies.flood,43,M1,mau,0.4704
com.labpixies.flood,44,M1,stickiness,-0.2145
com.labpixies.flood,44,M1,dau,0.0098
com.labpixies.flood,44,M1,crash_rate,-0.3012
com.labpixies.flood,44,M1,mau,0.4569
com.labpixies.flood,45,M1,stickiness,-0.1734
com.labpixies.flood,45,M1,dau,0.2154
com.labpixies.flood,45,M1,crash_rate,-0.1998
com.labpixies.flood,45,M1,mau,0.4629
com.labpixies.flood,46,M1,stickiness,-0.2018
com.labpixies.flood,46,M1,dau,0.0221
com.labpixies.flood,46,M1,crash_rate,-0.1488
com.labpixies.flood,46,M1,mau,0.4064
com.labpixies.flood,47,M1,stickiness,-0.2054
com.labpixies.flood,47,M1,dau,0.0068
com.labpixies.flood,47,M1,crash_rate,-0.418
com.labpixies.flood,47,M1,mau,0.3761
com.labpixies.flood,48,M1,stickiness,-0.1257
com.labpixies.flood,48,M1,dau,0.6075
com.labpixies.flood,48,M1,crash_rate,-0.3012
com.labpixies.flood,48,M1,mau,0.3444
com.labpixies.flood,49,M1,stickiness,-0.1363
com.labpixies.flood,49,M1,dau,0.3368
com.labpixies.flood,49,M1,crash_rate,-0.0089
com.labpixies.flood,49,M1,mau,0.2841
com.labpixies.flood,50,M1,stickiness,-0.1695
com.labpixies.flood,50,M1,dau,0.0702
com.labpixies.flood,50,M1,crash_rate,-0.114
com.labpixies.flood,50,M1,mau,0.2817
com.labpixies.flood,51,M1,stickiness,-0.1383
com.labpixies.flood,51,M1,dau,0.3368
com.labpixies.flood,51,M1,crash_rate,-0.3224
com.labpixies.flood,51,M1,mau,0.2971
com.labpixies.flood,52,M1,stickiness,-0.1122
com.labpixies.flood,52,M1,dau,0.8321
com.labpixies.flood,52,M1,crash_rate,-0.3764
com.labpixies.flood,52,M1,mau,0.3354
